Record Id,Score updated date,Overall recommendation,Lead Owner,Created By.id,Created By,Instagram link,Instagram Handle,SoMe score,Main social media,Posting frequency,Follower count,Posts last 30 days,Followers last 30 days,Posts last 90 days,Followers Gained Last 90 days,Analysis status,Engagement Rate,Followers Gained Last 30 days,category_some_2_0,confidence_some_2_0,pf_score,er_score,fc_score,total_score,priority_score
zcrm_699287000002581997,2025-12-11,review,System User,zcrm_699287000001852001,Holly Lippman,https://www.instagram.com/body_by_natalie,body_by_natalie,5.6,Instagram,0.56,55465.0,17.0,-31.0,50.0,-1967.0,Ranked,1.58,-179.0,ignore,0.6771386554819265,0.7857142857142858,0.7823078878438569,0.43886219427842105,2.0068843678365638,2.708554621927706
zcrm_699287000002582206,2025-12-11,review,Maike Brahms,zcrm_699287000002232001,Leo Wahnschaffe,https://www.instagram.com/kathinimmtab_,kathinimmtab_,6.3,Instagram,0.63,90916.0,18.0,,57.0,-1561.0,Ranked,1.12,-543.0,ignore,0.7700088027922217,0.8839285714285715,0.5545473635348859,0.7243110356361985,2.162786970599656,3.080035211168887
zcrm_699287000009682512,2025-12-11,launch,Mimi Jamily,zcrm_699287000001847469,Will Barrett,https://www.instagram.com/globerunnergriff,globerunnergriff,8.91,Instagram,1.21,71872.0,34.0,,109.0,19018.0,Ranked,2.83,5001.0,review,0.8754128097164039,1.6977040816326532,1.4012223560747563,0.5709701500527872,3.6698965877601966,5.501651238865616
zcrm_699287000015554002,2025-12-11,ignore,Celia Elhazaz,zcrm_699287000000512001,Daniel Lykke,https://www.instagram.com/patyyfit_/,patyyfit_,0.0,Instagram,,19666.0,,,,,Ranked,0.71,,ignore,0.8899998429032301,0.0,0.3515434179551508,0.15061128254766376,0.5021547005028146,3.5599993716129203
zcrm_699287000021395315,2025-12-11,wrong_handle,System User,zcrm_699287000001895033,Danielle Rosario,https://www.instagram.com/stefiguerreiro_fit,stefiguerreiro_fit,0.0,Instagram,0.47,58746.0,12.0,,42.0,-3321.0,Ranked,0.75,-2088.0,review,0.688216822867437,0.6594387755102041,0.3713486809385396,0.4652805646627506,1.4960680211114945,4.752867291469748
zcrm_699287000026369015,2025-12-11,review,System User,zcrm_699287000025212001,Coltrane Marcus,https://www.instagram.com/kayymrose,kayymrose,5.59,Instagram,0.92,37997.0,30.0,,83.0,1022.0,Ranked,0.85,471.0,ignore,0.6791063381954014,1.2908163265306125,0.4208618383970116,0.29821114463701015,2.009889309564634,2.716425352781606
zcrm_699287000029097787,2025-12-11,ignore,Maike Brahms,zcrm_699287000022722051,Maike Brahms,https://www.instagram.com/heileselbst,heileselbst,0.0,Instagram,,2263.0,0.0,,0.0,0.0,Ranked,0.0,0.0,ignore,0.9741322278256143,0.0,0.0,0.010483608119596803,0.010483608119596803,3.896528911302457
zcrm_699287000029105085,2025-12-11,ignore,Maike Brahms,zcrm_699287000022722051,Maike Brahms,https://www.instagram.com/jona_gloss,jona_gloss,0.0,Instagram,0.01,6092.0,0.0,,1.0,-1.0,Ranked,1.77,0.0,review,0.7423650269085624,0.01403061224489796,0.8763828870149536,0.04131443414873364,0.9317279334085852,4.96946010763425
zcrm_699287000029440176,2025-12-11,ignore,Maike Brahms,zcrm_699287000022722051,Maike Brahms,https://www.instagram.com/liftwithannah,liftwithhannah,0.0,Instagram,,3455.0,0.0,,0.0,0.0,Ranked,0.0,0.0,ignore,0.9733966753476521,0.0,0.0,0.0200815043396885,0.0200815043396885,3.8935867013906083
zcrm_699287000029440343,2025-12-11,ignore,Maike Brahms,zcrm_699287000022722051,Maike Brahms,https://www.instagram.com/hannahribana,hannahribana,4.87,Instagram,0.37,5947.0,10.0,,33.0,20.0,Ranked,5.6,-22.0,launch,0.7302810810368178,0.5191326530612245,2.7727368176744287,0.040146904826658725,3.3320163755623122,8.921124324147272
zcrm_699287000030004425,2025-12-11,ignore,System User,zcrm_699287000023290303,Kaitlyn Lotspeich,https://www.instagram.com/ellafit444,ellafit444,3.89,Instagram,0.19,12613.0,2.0,,17.0,192.0,Ranked,3.26,68.0,ignore,0.655565625324555,0.26658163265306123,1.6141289331461854,0.09382104593666817,1.9745316117359148,2.62226250129822
zcrm_699287000030004436,2025-12-11,ignore,System User,zcrm_699287000023290303,Kaitlyn Lotspeich,https://www.instagram.com/getfitwithrizzz,getfitwithrizzz,2.43,Instagram,0.08,8556.0,4.0,,7.0,378.0,Ranked,2.18,-4.0,review,0.8207800970939919,0.11224489795918367,1.0793868325946887,0.061154380697648024,1.2527861112515204,5.283120388375968
zcrm_699287000030082569,2025-12-11,review,Maike Brahms,zcrm_699287000022722051,Maike Brahms,https://www.instagram.com/pflanzlichstark,pflanzlichstark,6.56,Instagram,0.04,217108.0,1.0,,4.0,-233.0,Ranked,26.84,-784.0,launch,0.9787426605568147,0.05612244897959184,4.48,1.7403997267484566,6.276522175728049,9.914970642227258
zcrm_699287000030319854,2025-12-11,wrong_handle,Dilpreet Bhattal,zcrm_699287000027115123,Dilpreet Bhattal,https://www.instagram.com/jacky_g_fitness,jacky_g_fitness,0.0,Instagram,,,,,,,Ranked,,,ignore,0.9749130378465203,0.0,0.0,0.0,0.0,3.899652151386081
zcrm_699287000030319865,2025-12-11,ignore,Dilpreet Bhattal,zcrm_699287000027115123,Dilpreet Bhattal,https://www.instagram.com/carloushka,carloushka,3.9,Instagram,0.12,3867.0,6.0,,11.0,145.0,Ranked,6.68,46.0,review,0.7483432897569647,0.1683673469387755,3.307478918225926,0.023398897999653077,3.4992451631643546,4.993373159027859
zcrm_699287000030385221,2025-12-11,ignore,Danielle Rosario,zcrm_699287000001895033,Danielle Rosario,https://www.instagram.com/gracefulgainss,gracefulgainss,3.23,Instagram,0.71,16305.0,24.0,,64.0,-27.0,Ranked,0.0,-44.0,ignore,0.5746462155949924,0.9961734693877551,0.0,0.12354875805460319,1.1197222274423582,2.2985848623799696
zcrm_699287000030404041,2025-12-11,ignore,Mike Michalke,zcrm_699287000022810883,Mike Michalke,https://www.instagram.com/ludwig_netze,ludwig_netze,4.66,Instagram,0.33,3904.0,14.0,,30.0,52.0,Ranked,4.69,-23.0,ignore,0.653254944865544,0.4630102040816327,2.322167084802335,0.02369681927494116,2.808874108158909,2.613019779462176
zcrm_699287000032558873,2025-12-11,ignore,Daniela Anderson,zcrm_699287000032342001,Daniela Anderson,https://www.instagram.com/mollydalton,mollydalton,2.99,Instagram,0.54,24856.0,18.0,,49.0,1190.0,Ranked,0.0,376.0,ignore,0.6920750832932837,0.7576530612244898,0.0,0.1924007803515865,0.9500538415760763,2.768300333173135
zcrm_699287000038592286,2025-12-11,ignore,Kaitlyn Lotspeich,zcrm_699287000023290303,Kaitlyn Lotspeich,https://www.instagram.com/drewtegui,drewtegui,3.51,Instagram,0.01,4180.0,1.0,,1.0,3.0,Ranked,4.69,3.0,ignore,0.8589202257831484,0.01403061224489796,2.322167084802335,0.025919150950063065,2.362116847997296,3.4356809031325937
zcrm_699287000038597002,2025-12-11,ignore,Lila Iliadi,zcrm_699287000000512001,Daniel Lykke,https://www.instagram.com/daniela.kielkowski?igsh=MTUzMHpoazRrc2ZlMQ==,daniela.kielkowski,2.93,Instagram,0.31,8594.0,11.0,,28.0,734.0,Ranked,1.76,94.0,review,0.7366423355794465,0.43494897959183676,0.8714315712691063,0.06146035389929524,1.3678409047602382,4.946569342317786
zcrm_699287000039058001,2025-12-11,ignore,Koen Besseling,zcrm_699287000033655001,Koen Besseling,https://www.instagram.com/dmorree,dmorree,0.0,Instagram,,4522.0,,,,,Ranked,1.85,,review,0.7851543531315841,0.0,0.9159934129817312,0.02867290976488803,0.9446663227466192,5.140617412526336
zcrm_699287000039058092,2025-12-11,ignore,Mimi Jamily,zcrm_699287000029421001,Mimi Jamily,https://www.instagram.com/jade.poyser,jade.poyser,1.79,Instagram,0.18,20889.0,7.0,,16.0,-349.0,Ranked,0.35,-119.0,ignore,0.8700139851719535,0.25255102040816324,0.1732960511046518,0.1604587884848887,0.5863058599977038,3.480055940687814
zcrm_699287000039058136,2025-12-11,ignore,Mimi Jamily,zcrm_699287000029421001,Mimi Jamily,https://www.instagram.com/lifts_withlina,lifts_withlina,2.53,Instagram,0.62,6920.0,24.0,,56.0,827.0,Ranked,0.0,455.0,ignore,0.7122551051018793,0.8698979591836735,0.0,0.047981429174099345,0.9178793883577728,2.849020420407517
zcrm_699287000039058181,2025-12-11,review,Mimi Jamily,zcrm_699287000029421001,Mimi Jamily,https://www.instagram.com/ibandems,ibandems,5.25,Instagram,0.4,95538.0,20.0,,36.0,-1256.0,Ranked,0.86,-221.0,review,0.5085756465560435,0.5612244897959184,0.4258131541428588,0.7615270392681313,1.7485646832069084,4.0343025862241735
zcrm_699287000039058239,2025-12-11,ignore,Mimi Jamily,zcrm_699287000029421001,Mimi Jamily,https://www.instagram.com/thefitnessphysio_,thefitnessphysio_,3.57,Instagram,0.26,28971.0,17.0,,23.0,6224.0,Ranked,1.76,4436.0,review,0.7098620506756906,0.3647959183673469,0.8714315712691063,0.2255344573194366,1.4617619469558898,4.839448202702762
zcrm_699287000039058995,2025-12-11,wrong_handle,Koen Besseling,zcrm_699287000033655001,Koen Besseling,https://www.instagram.com/itaesthetic,itaesthetic,0.0,Instagram,,,,,,,Ranked,,,ignore,0.9749130378465203,0.0,0.0,0.0,0.0,3.899652151386081
zcrm_699287000039082533,2025-12-11,review,Lara Rizk-Diab,zcrm_699287000001847873,Lara Rizk-Diab,https://www.instagram.com/tobi_ojora,tobi_ojora,7.36,Instagram,0.27,107529.0,10.0,,24.0,9207.0,Ranked,14.54,7738.0,launch,0.8955253554620239,0.3788265306122449,4.48,0.858077688240547,5.716904218852792,9.582101421848096
zcrm_699287000039087069,2025-12-11,review,Mimi Jamily,zcrm_699287000029421001,Mimi Jamily,https://www.instagram.com/onserenasplate,onserenasplate,5.26,Instagram,0.52,159843.0,20.0,,47.0,2391.0,Ranked,0.34,1281.0,ignore,0.7775988788200145,0.7295918367346939,0.16834473535880465,1.2793061637924572,2.177242735885956,3.110395515280058
